[2023-01-20T09:14:30.972304+00:00] Portfolios.NOTICE: Neteisingi prisijungimo duomenys [] []
[2023-01-20T09:14:31.547643+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T09:14:31.965255+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:14:43.935769+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:14:50.371018+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:14:57.466452+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:03.047619+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:09.649719+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T09:15:10.140304+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T09:15:10.617933+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:13.334967+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:19.930684+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:21.524850+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:15:26.835392+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:23:15.570435+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T09:23:16.211217+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T09:23:16.769780+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T09:23:19.238229+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:20:11.181661+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:20:14.258138+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T10:20:14.803036+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T10:20:15.264735+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:20:18.070628+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:22:57.213403+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T10:22:57.613798+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T10:22:58.049852+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:23:00.463330+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:36:10.112488+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:36:10.918192+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T10:36:11.330704+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T10:36:11.783107+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:36:12.862330+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:36:15.590186+00:00] Portfolios.WARNING: Adresas: [GET] /person/atnaujinti nerastas [] []
[2023-01-20T10:36:16.061215+00:00] Portfolios.WARNING: Adresas: [GET] /js/mano.js nerastas [] []
[2023-01-20T10:36:16.525416+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-20T10:36:17.055178+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:14:23.578345+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:14:24.341321+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:14:24.633590+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:14:30.440495+00:00] Portfolios.WARNING: Adresas: [GET] /portfolio nerastas [] []
[2023-01-23T08:14:30.739524+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:14:31.144399+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:14:31.486026+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:14:35.537869+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:14:36.111641+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:14:36.656211+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:21:45.957357+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:21:46.523619+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:21:46.713920+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:22:39.354817+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:22:39.898665+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:22:40.112022+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:24:17.557242+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:24:17.821487+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:24:18.115909+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:24:25.175235+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:24:25.267808+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:24:25.438202+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:17.952895+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:18.231850+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:25:18.673949+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:42.013864+00:00] Portfolios.WARNING: Adresas: [GET] /persons/new nerastas [] []
[2023-01-23T08:25:42.754045+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:43.102976+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:25:43.371189+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:47.295855+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:47.897097+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:25:48.058456+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:50.806559+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:51.111917+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:25:51.583018+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:52.731173+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:25:53.275253+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:25:53.579150+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:32:51.365455+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:32:51.746907+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:32:51.985142+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:29.377454+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:29.864763+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:43:30.145216+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:36.801916+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
[2023-01-23T08:43:37.300178+00:00] Portfolios.WARNING: Adresas: [GET] /favicon.ico nerastas [] []
[2023-01-23T08:43:37.906458+00:00] Portfolios.ERROR: Controllerio metodas turi grąžinti Response objektą [] []
